sample,sequencing_type,single_end,original_id,completion_date,date,assembly_prefix,nominal_species_id,fastq_1,fastq_2
OG1946,ilmn,false,OG1946,,251215,OG1946.ilmn.251215,Hymenocephalus sp 4,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1946/fastp/OG1946.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1946/fastp/OG1946.ilmn.251215.R2.fastq.gz
OG1947,ilmn,false,OG1947,,251215,OG1947.ilmn.251215,Hydrolagus marmoratus,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1947/fastp/OG1947.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1947/fastp/OG1947.ilmn.251215.R2.fastq.gz
OG1948,ilmn,false,OG1948,,251215,OG1948.ilmn.251215,Squalus montalbani,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1948/fastp/OG1948.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1948/fastp/OG1948.ilmn.251215.R2.fastq.gz
OG1949,ilmn,false,OG1949,,251215,OG1949.ilmn.251215,Euclichthys microdorsalis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1949/fastp/OG1949.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1949/fastp/OG1949.ilmn.251215.R2.fastq.gz
OG1950,ilmn,false,OG1950,,251215,OG1950.ilmn.251215,Bathyphylax bombifrons,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1950/fastp/OG1950.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1950/fastp/OG1950.ilmn.251215.R2.fastq.gz
OG1951,ilmn,false,OG1951,,251215,OG1951.ilmn.251215,Macrorhamphosodes uradoi,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1951/fastp/OG1951.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1951/fastp/OG1951.ilmn.251215.R2.fastq.gz
OG1952,ilmn,false,OG1952,,251215,OG1952.ilmn.251215,Lioscorpius trifasciatus,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1952/fastp/OG1952.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1952/fastp/OG1952.ilmn.251215.R2.fastq.gz
OG1953,ilmn,false,OG1953,,251215,OG1953.ilmn.251215,Dysomma polycatodon,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1953/fastp/OG1953.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1953/fastp/OG1953.ilmn.251215.R2.fastq.gz
OG1954,ilmn,false,OG1954,,251215,OG1954.ilmn.251215,Lepidoblepharon ophthalmolepis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1954/fastp/OG1954.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1954/fastp/OG1954.ilmn.251215.R2.fastq.gz
OG1955,ilmn,false,OG1955,,251215,OG1955.ilmn.251215,Foetorepus australis,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1955/fastp/OG1955.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1955/fastp/OG1955.ilmn.251215.R2.fastq.gz
OG1956,ilmn,false,OG1956,,251215,OG1956.ilmn.251215,Bathycongrus sp 2 (cf guttulatus),/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1956/fastp/OG1956.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1956/fastp/OG1956.ilmn.251215.R2.fastq.gz
OG1957,ilmn,false,OG1957,,251215,OG1957.ilmn.251215,Barathronus maculatus,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1957/fastp/OG1957.ilmn.251215.R1.fastq.gz,/scratch/pawsey0964/tpeirce/BIGRUN/mitogenomes/NOVA_251215_AD/fastp/OG1957/fastp/OG1957.ilmn.251215.R2.fastq.gz
